,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Joshīmath,3,IN,1586631319,17,30.57,79.57,50.13,7.45
375,Porto-Novo,40,BJ,1586631321,74,6.5,2.6,86.0,10.29
376,Moerai,98,PF,1586631322,84,-22.43,-151.33,81.28,3.04
377,Castrillón,75,ES,1586631323,87,43.4,-6.79,57.2,4.7
378,Kruisfontein,100,ZA,1586631324,55,-34.0,24.73,64.45,2.82
379,Ogulin,56,HR,1586631326,69,45.27,15.23,59.0,3.33
380,Champerico,20,GT,1586631327,56,14.3,-91.92,93.2,6.93
381,Devonport,25,AU,1586631328,66,-41.17,146.35,52.0,8.99
382,Praia da Vitória,20,PT,1586631330,77,38.73,-27.07,64.4,11.77
383,Eureka,90,US,1586631331,81,40.8,-124.16,59.0,4.7
384,Jensen Beach,75,US,1586631332,57,27.25,-80.23,82.0,11.41
385,Tarakan,0,ID,1586631334,81,3.3,117.63,78.8,1.28
386,Kashan,48,IR,1586631335,42,33.98,51.44,62.1,2.28
387,Shellbrook,75,CA,1586631336,57,53.22,-106.4,21.2,18.34
388,Mossamedes,4,AO,1586631338,67,-15.2,12.15,77.36,6.02
389,Neiafu,20,TO,1586631339,100,-18.65,-173.98,66.2,9.44
390,Martinsburg,20,US,1586631340,28,39.46,-77.96,60.01,11.41
391,Arraial do Cabo,75,BR,1586631341,94,-22.97,-42.03,69.8,8.05
392,Karpathos,0,GR,1586631182,87,35.51,27.21,60.8,16.11
393,Daru,86,PG,1586631344,85,-9.08,143.21,79.7,10.38
394,Jalgaon,1,IN,1586631345,12,21.02,75.57,90.14,3.58
395,Moen,100,NO,1586631347,95,69.13,18.61,32.0,19.46
396,Bongandanga,99,CD,1586631348,82,1.5,21.05,75.81,3.94
397,Narsaq,75,GL,1586631349,20,60.92,-46.05,55.4,26.4
398,Karaman Province,0,TR,1586631182,33,37.08,33.25,45.27,9.33
399,San Policarpo,44,PH,1586631352,80,12.18,125.51,77.45,2.66
400,Swan Hill,0,AU,1586631354,71,-35.34,143.55,49.37,7.74
401,Bétaré Oya,99,CM,1586631355,70,5.6,14.08,66.97,3.6
402,Isla Vista,1,US,1586631357,72,34.41,-119.86,69.01,9.17
403,Thinadhoo,13,MV,1586631358,61,0.53,72.93,84.81,5.46
404,Pontianak,79,ID,1586631359,88,-0.03,109.33,77.65,4.05
405,Pacifica,90,US,1586631361,87,37.61,-122.49,61.0,4.7
406,Prilep,35,MK,1586631362,38,41.35,21.55,59.0,10.29
407,Sinnamary,93,GF,1586631363,69,5.38,-52.95,82.42,12.1
408,Kaukauna,40,US,1586631365,22,44.28,-88.27,60.8,13.87
409,Lębork,70,PL,1586631366,52,54.54,17.75,50.0,9.17
410,Provideniya,99,RU,1586631332,97,64.38,-173.3,27.14,3.29
411,Astoria,90,US,1586631369,61,46.19,-123.83,54.0,9.17
412,Øksfjord,75,NO,1586631370,68,70.24,22.35,30.2,11.41
413,Basco,54,PH,1586631371,75,20.45,121.97,76.91,11.18
414,High Level,75,CA,1586631372,45,58.52,-117.14,26.6,11.41
415,Bani Walid,32,LY,1586631374,33,31.76,13.99,64.67,13.98
416,Kodaikānāl,10,IN,1586631375,53,10.23,77.48,59.74,3.42
417,Kasongo-Lunda,40,CD,1586631376,77,-6.47,16.82,74.43,2.04
418,Baghdad,4,IQ,1586631259,34,33.34,44.4,68.0,2.24
419,Kannur,3,IN,1586631379,81,11.87,75.36,81.59,3.04
420,Zhigansk,100,RU,1586631380,98,66.77,123.37,28.96,12.15
421,Ahipara,43,NZ,1586631382,80,-35.17,173.17,62.2,11.18
422,Anadyr,40,RU,1586631383,84,64.75,177.48,1.4,15.66
423,Aswān,0,EG,1586631381,21,24.09,32.91,73.4,11.41
424,Port Hardy,20,CA,1586631385,81,50.7,-127.42,46.4,5.82
425,Sawtell,0,AU,1586631387,48,-30.38,153.1,62.6,16.11
426,Teya,1,RU,1586631388,94,60.38,92.63,24.39,4.03
427,Longyearbyen,20,SJ,1586631389,64,78.22,15.64,-0.4,5.12
428,Marathon,1,US,1586631391,32,44.9,-89.77,55.4,11.41
429,Haines Junction,0,CA,1586631392,74,60.75,-137.51,26.56,0.47
430,Havre-St-Pierre,90,CA,1586631393,44,50.23,-63.6,39.2,8.05
431,Lakatoro,38,VU,1586631395,76,-16.1,167.42,78.04,8.59
432,Acapulco de Juárez,40,MX,1586631396,74,16.86,-99.89,84.2,6.93
433,Bitritto,0,IT,1586631397,82,41.04,16.83,60.01,3.36
434,Yumen,82,CN,1586631398,21,40.28,97.2,46.94,7.0
435,Southbridge,75,US,1586631400,34,42.08,-72.03,52.0,16.11
436,Saravena,93,CO,1586631401,47,6.95,-71.88,88.88,0.69
437,Médéa,20,DZ,1586631403,87,36.26,2.75,60.8,10.29
438,Zemio,97,CF,1586631404,71,5.03,25.14,74.89,3.67
439,Padra,6,IN,1586631405,17,22.23,73.08,90.14,10.16
440,Halifax,75,CA,1586631407,56,44.65,-63.57,46.0,19.46
441,Chapais,90,CA,1586631408,58,49.78,-74.85,30.2,13.87
442,Gáldar,20,ES,1586631409,64,28.15,-15.65,71.01,25.28
443,Talakan,1,RU,1586631411,78,50.32,130.37,35.98,2.08
444,Setúbal,20,PT,1586631412,72,38.52,-8.89,64.4,10.29
445,Goshen,90,US,1586631413,37,41.58,-85.83,59.0,13.87
446,Flinders,3,AU,1586631415,50,-34.58,150.86,53.6,17.22
447,Örnsköldsvik,85,SE,1586631416,94,63.29,18.72,35.6,8.05
448,Ust-Tsilma,63,RU,1586631418,94,65.44,52.15,18.7,2.89
449,Berlevåg,95,NO,1586631419,89,70.86,29.09,25.21,6.62
450,Ayagoz,26,KZ,1586631421,61,47.97,80.44,35.8,11.43
451,Los Llanos de Aridane,75,ES,1586631422,68,28.66,-17.92,69.8,11.41
452,Shamkhal,2,RU,1586631423,87,43.06,47.34,42.8,4.47
453,Santa Rosa,75,PH,1586631425,74,14.31,121.11,82.4,3.36
454,Luanshya,62,ZM,1586631378,64,-13.14,28.42,63.55,5.7
455,Nouakchott,21,MR,1586631180,42,18.09,-15.98,86.0,17.22
456,Slave Lake,90,CA,1586631429,58,55.28,-114.77,24.8,16.11
457,Bitburg,75,DE,1586631308,45,49.97,6.53,64.4,3.36
458,Alofi,100,NU,1586631432,100,-19.06,-169.92,66.2,3.36
459,Butembo,92,CD,1586631279,63,0.15,29.28,61.32,2.91
460,Margate,23,GB,1586631434,76,51.38,1.39,63.0,3.36
461,Elko,1,US,1586631435,35,41.0,-115.5,61.0,12.75
462,Safi,78,MA,1586631312,70,32.3,-9.24,65.3,16.82
463,Staunton,40,US,1586631438,30,38.15,-79.07,63.0,6.93
464,Novy Urengoy,100,RU,1586631362,97,66.08,76.63,36.01,18.75
465,Mount Isa,25,AU,1586631441,18,-20.73,139.5,68.0,9.17
466,Katherine,90,AU,1586631442,88,-14.47,132.27,75.2,4.7
467,Azul,7,AR,1586631443,52,-36.78,-59.86,71.01,3.0
468,Dunedin,78,NZ,1586631445,85,-45.87,170.5,52.0,3.53
469,Callaway,20,US,1586631446,27,30.15,-85.57,77.0,8.05
470,Skibbereen,20,IE,1586631447,77,51.55,-9.27,60.8,4.7
471,Port Macquarie,0,AU,1586631448,44,-31.43,152.92,59.0,10.29
472,Vostok,0,RU,1586631450,92,46.49,135.88,23.25,3.31
473,Great Bend,1,US,1586631451,27,38.36,-98.76,78.8,4.7
474,Tautira,100,PF,1586631452,66,-17.73,-149.15,86.0,5.82
475,Bāglung,21,NP,1586631454,19,28.27,83.59,64.2,6.22
476,La Rioja,75,ES,1586631455,93,42.25,-2.5,59.0,1.12
477,El Fuerte,24,MX,1586631457,17,26.42,-108.62,77.74,7.47
478,Ranfurly,100,NZ,1586631458,70,-45.13,170.1,44.01,6.87
479,Kohtla-Järve,20,EE,1586631459,79,59.4,27.27,36.39,12.06
480,Ronda,40,ES,1586631413,82,36.74,-5.17,69.01,6.93
481,Ubari,0,LY,1586631462,15,26.59,12.78,79.25,11.18
482,Bose,0,IT,1586631463,18,45.46,8.01,72.0,4.7
483,Kloulklubed,0,PW,1586631464,81,7.04,134.26,81.41,10.89
484,Eyl,0,SO,1586631466,69,7.98,49.82,83.16,14.36
485,Lae,71,PG,1586631467,68,-6.72,146.98,79.11,1.43
486,Husavik,75,IS,1586631468,93,66.04,-17.34,37.4,18.34
487,Zyryanka,4,RU,1586631470,93,65.75,150.85,15.39,5.7
488,Puerto Ayacucho,40,VE,1586631471,44,5.66,-67.62,93.2,5.95
489,Miles City,90,US,1586631472,92,46.41,-105.84,32.0,16.11
490,Aksu,81,CN,1586631327,19,41.12,80.26,60.93,2.15
491,Shizunai-furukawachō,99,JP,1586631475,88,42.33,142.37,34.23,2.93
492,Rundu,87,NA,1586631476,69,-17.93,19.77,73.4,1.12
493,Gari,98,RU,1586631477,77,59.43,62.35,39.04,7.92
494,Lagoa,0,PT,1586631479,70,39.05,-27.98,61.81,10.65
495,Kango,100,GA,1586631480,94,0.19,10.1,75.47,3.31
496,Necochea,6,AR,1586631481,47,-38.55,-58.74,77.0,11.01
497,Monteagudo,0,BO,1586631483,24,-19.82,-63.98,80.04,7.27
498,Khor,34,RU,1586631484,71,47.89,134.95,33.42,4.0
499,Victor Harbor,75,AU,1586631485,66,-35.57,138.62,55.4,5.82
500,Asău,80,RO,1586631487,42,46.43,26.4,46.4,5.82
501,Andra,100,RU,1586631488,96,62.51,65.89,35.4,4.56
502,Nizhniy Tsasuchey,0,RU,1586631489,36,50.52,115.13,44.55,4.76
503,Ambilobe,2,MG,1586631491,80,-13.2,49.05,75.9,6.24
504,Podor,32,MR,1586631492,12,16.65,-14.96,107.6,8.88
505,Semey,13,KZ,1586631493,60,50.41,80.23,41.05,5.44
506,Laas,5,IT,1586631495,41,46.62,10.7,71.6,5.82
507,Atar,0,MR,1586631496,9,20.52,-13.05,98.92,12.82
508,Safaga,0,EG,1586631242,45,26.73,33.94,69.89,9.37
509,Nemuro,36,JP,1586631498,91,43.32,145.57,30.49,9.89
510,Shache,67,CN,1586631500,15,38.42,77.24,63.99,3.94
511,Pātrasāer,9,IN,1586631501,65,23.22,87.52,79.63,9.17
512,Isiolo,48,KE,1586631502,49,0.35,37.58,73.0,8.39
513,Uruçuí,78,BR,1586631504,62,-7.23,-44.56,87.12,3.91
514,Baião,84,BR,1586631505,61,-2.79,-49.67,88.16,2.84
515,Beloha,88,MG,1586631506,81,-25.17,45.05,73.08,16.22
516,Faya,14,SA,1586631510,82,18.39,42.45,64.4,6.93
517,Mānsa,24,IN,1586631511,24,29.98,75.38,80.62,6.26
518,Kourou,75,GF,1586631513,66,5.16,-52.65,86.0,10.29
519,Udachny,90,RU,1586631514,68,66.42,112.4,26.6,6.71
520,Shubarshi,35,KZ,1586631515,51,48.59,57.19,45.5,7.76
521,Morehead,1,US,1586631517,25,37.27,-87.18,64.4,11.41
522,Rocha,42,UY,1586631518,58,-34.48,-54.33,69.76,5.14
523,Bārmer,34,IN,1586631519,16,25.75,71.38,89.19,6.67
524,Egvekinot,13,RU,1586631520,75,66.32,-179.17,7.95,3.02
525,Ust'ye,39,RU,1586631421,88,59.63,39.74,27.61,2.59
526,Mayskiy,84,RU,1586631523,41,47.69,40.1,44.01,6.71
527,Bolobo,72,CD,1586631524,69,-2.17,16.23,80.08,3.15
528,Emba,33,KZ,1586631526,53,48.83,58.14,44.51,9.8
529,Dudinka,75,RU,1586631279,92,69.41,86.18,30.2,31.32
530,Rimavská Sobota,32,SK,1586631528,27,48.38,20.02,48.99,1.99
531,Hergla,51,TN,1586631530,72,36.03,10.51,68.0,9.17
532,Aykhal,88,RU,1586631531,68,66.0,111.5,26.6,6.71
533,Ugoofaaru,11,MV,1586631532,68,5.67,73.0,85.32,5.48
534,Māngrol,7,IN,1586631368,66,21.12,70.12,80.55,12.3
535,Eucaliptus,0,BO,1586631535,7,-17.58,-67.52,62.13,13.65
536,Luleå,35,SE,1586631395,92,65.58,22.15,32.0,5.82
537,Xining,0,CN,1586631538,24,36.62,101.77,37.09,0.43
538,Belém de São Francisco,42,BR,1586631539,39,-8.75,-38.97,91.98,8.39
539,Khanbari,71,NP,1586631541,26,27.37,87.2,66.02,6.29
540,Oranjemund,6,NA,1586631542,87,-28.55,16.43,61.11,4.03
541,Gobabis,89,NA,1586631543,60,-22.45,18.97,69.8,1.12
542,Arrondissement de Cambrai,42,FR,1586631545,42,50.17,3.42,68.0,6.93
543,Le Port,47,RE,1586631546,78,-20.94,55.29,75.2,11.41
544,Luganville,15,VU,1586631547,80,-15.53,167.17,74.23,2.95
545,Wanning,46,CN,1586631549,89,18.8,110.4,75.07,3.71
546,Linjiang,13,CN,1586631550,71,41.81,126.91,35.55,4.72
547,Clarence Town,0,AU,1586631431,62,-32.58,151.78,57.0,9.17
548,Strezhevoy,100,RU,1586631552,97,60.73,77.59,39.2,6.71
549,Mareeba,40,AU,1586631554,94,-17.0,145.43,73.4,1.54
550,Los Arabos,2,CU,1586631555,36,22.73,-80.72,93.7,5.39
551,Vila Franca do Campo,20,PT,1586631556,63,37.72,-25.43,62.6,17.22
552,Verkhnevilyuysk,97,RU,1586631558,96,63.45,120.32,30.9,8.66
553,Vicuña,92,CL,1586631559,63,-30.03,-70.71,64.4,9.17
554,Fort Nelson,75,CA,1586631561,78,58.81,-122.7,32.0,8.05
555,Östersund,100,SE,1586631562,60,63.18,14.64,39.2,11.41
556,Galle,6,LK,1586631323,80,6.04,80.22,80.56,5.84
557,Nicoya,40,CR,1586631565,39,10.15,-85.45,96.8,11.41
558,Departamento de Maldonado,40,UY,1586631566,73,-34.67,-54.92,69.8,11.41
559,Tigil',0,RU,1586631567,88,57.8,158.67,8.87,3.09
560,Boca do Acre,70,BR,1586631374,63,-8.75,-67.4,87.28,2.84
561,Bandarbeyla,2,SO,1586631570,72,9.49,50.81,81.63,12.88
562,Callaguip,20,PH,1586631571,100,18.07,120.49,75.2,2.06
563,Sorong,4,ID,1586631573,89,-0.88,131.25,76.64,0.63
564,Chalcis,0,GR,1586631574,58,38.46,23.6,66.99,3.91
565,Iralaya,75,HN,1586631575,63,15.0,-83.23,91.4,10.29
566,Montmagny,63,FR,1586631576,35,48.97,2.35,73.0,3.36
567,Holme,99,DK,1586631578,87,56.11,10.17,48.2,8.05
568,Namatanai,84,PG,1586631579,75,-3.67,152.43,81.73,4.18
569,Bahir Dar,100,ET,1586631580,41,11.59,37.39,70.52,9.35
570,Samarai,84,PG,1586631582,71,-10.62,150.67,78.13,3.33
571,Hanford,1,US,1586631583,72,36.33,-119.65,66.99,4.7
572,Zhuji,82,CN,1586631584,76,29.72,120.24,48.2,8.95
573,Pangody,100,RU,1586631410,97,65.85,74.49,36.09,17.58
574,Çumra,0,TR,1586631587,35,37.57,32.77,48.2,4.7
